Os01g0100100	AT2G43490
Os01g0100100	AT3G59570
Os01g0100300	AT5G52400
Os01g0100400	AT5G48450
Os01g0100500	AT5G16520
Os01g0100700	AT2G37270
Os01g0100700	AT3G11940
Os01g0100800	AT1G24265
Os01g0100800	AT1G24267
Os01g0100900	AT1G27980
Os01g0101150	AT3G02010
Os01g0101300	AT4G24880
Os01g0101700	AT4G13830
Os01g0102000	AT3G48610
Os01g0102400	AT5G38140
Os01g0102500	AT5G13100
Os01g0102600	AT3G26900
Os01g0102700	AT5G14030
Os01g0102800	AT2G18760
Os01g0103000	AT3G10640
Os01g0103000	AT5G04850
Os01g0103100	AT5G13400
Os01g0103600	AT1G20050
Os01g0103800	AT1G76660
Os01g0103900	AT5G07380
Os01g0104000	AT1G52310
Os01g0104100	AT3G54360
Os01g0104400	AT2G39050
Os01g0104500	AT3G29035
Os01g0104500	AT5G07680
Os01g0104500	AT5G39610
Os01g0104500	AT5G61430
Os01g0104600	AT4G10180
Os01g0104800	AT2G43650
Os01g0104900	AT2G40230
Os01g0105700	AT1G27660
Os01g0105800	AT2G16710
Os01g0105800	AT2G36260
Os01g0105900	AT1G19600
Os01g0106200	AT2G18240
Os01g0106300	AT1G19540
Os01g0106300	AT1G75280
Os01g0106300	AT1G75290
Os01g0106300	AT1G75300
Os01g0106300	AT4G39230
Os01g0106400	AT1G19540
Os01g0106400	AT1G75280
Os01g0106400	AT1G75290
Os01g0106400	AT1G75300
Os01g0106400	AT4G39230
Os01g0106700	AT3G48190
Os01g0106900	AT5G62790
Os01g0107700	AT4G16745
Os01g0108000	AT5G08440
Os01g0108000	AT5G23490
Os01g0108000	AT5G23510
Os01g0108200	AT1G20380
Os01g0108200	AT1G76140
Os01g0108600	AT1G12540
Os01g0108600	AT1G62975
Os01g0108600	AT4G25400
Os01g0108600	AT4G25410
Os01g0108600	AT5G51780
Os01g0108600	AT5G51790
Os01g0108800	AT1G23790
Os01g0108800	AT1G70340
Os01g0109300	AT5G40270
Os01g0109300	AT5G40290
Os01g0110100	AT1G68740
Os01g0110400	AT5G48230
Os01g0110500	AT5G38560
Os01g0110700	AT1G68750
Os01g0111100	AT1G74070
Os01g0111200	AT1G26110
Os01g0111400	AT1G18560
Os01g0111500	AT1G66470
Os01g0111500	AT5G37800
Os01g0111600	AT1G18100
Os01g0112500	AT3G03440
Os01g0116600	AT5G10630
Os01g0117900	AT3G18200
Os01g0118000	AT2G01140
Os01g0118100	AT1G48650
Os01g0118100	AT2G01130
Os01g0118300	AT1G15110
Os01g0118400	AT3G18170
Os01g0118400	AT3G18180
Os01g0118600	AT3G18170
Os01g0118600	AT3G18180
Os01g0118700	AT3G18170
Os01g0118700	AT3G18180
Os01g0119000	AT3G18170
Os01g0119000	AT3G18180
Os01g0119100	AT3G18170
Os01g0119100	AT3G18180
Os01g0120300	AT4G04350
Os01g0120400	AT3G16565
Os01g0120600	AT1G15140
Os01g0120800	AT4G11420
Os01g0121100	AT1G66680
Os01g0121200	AT2G01275
Os01g0121200	AT5G38070
Os01g0121300	AT1G71110
Os01g0121700	AT2G01320
Os01g0121800	AT1G71070
Os01g0125600	AT1G23000
Os01g0125800	AT2G01330
Os01g0125800	AT3G18060
Os01g0125900	AT2G16920
Os01g0126200	AT1G23010
Os01g0126200	AT1G71040
Os01g0126600	AT1G15910
Os01g0126600	AT1G80790
Os01g0126600	AT3G29375
Os01g0126600	AT4G00380
Os01g0127300	AT1G32500
Os01g0127500	AT1G25460
Os01g0127500	AT1G68540
Os01g0127900	AT1G67070
Os01g0127900	AT3G02570
Os01g0128000	AT1G25340
Os01g0128000	AT1G68320
Os01g0128100	AT1G68290
Os01g0128400	AT1G23170
Os01g0128400	AT1G70770
Os01g0128400	AT3G11880
Os01g0128800	AT3G18370
Os01g0129200	AT1G13400
Os01g0129200	AT1G68480
Os01g0129500	AT1G73850
Os01g0130000	AT1G16310
Os01g0130000	AT1G79520
Os01g0130400	AT1G68560
Os01g0130400	AT3G45940
